127.0.0.1 - - [14/Dec/2017:19:58:06 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=263910E4BC70203E8BC49C24D4E3DF0B?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 8951
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:40 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:41 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:41 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:41 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:42 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:45 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 385
